id,name,parent_id,depth,url
,Leather Helmet Fronts/Shields,0,0,"{'path': '/first-responder-leather-goods/firefighter-leather-helmet-fronts', 'is_customized': True}"
,Leather Accessories,0,0,"{'path': '/first-responder-leather-goods/first-responder-leather-radio-accessories', 'is_customized': False}"
,Light Parts and Accessories,0,0,"{'path': '/responder-flashlights/responder-light-parts-accessories', 'is_customized': False}"
,Line Tape,0,0,"{'path': '/traffic-control-supplies/first-responder-scene-tape', 'is_customized': False}"
,Manikins - Old,0,0,"{'path': '/training/manikins-old/', 'is_customized': False}"
,Mask Bags,0,0,"{'path': '/responder-bags/firefighter-mask-bags', 'is_customized': False}"
,Mats and Tarps,0,0,"{'path': '/firefighting-suppression-equipment/firefighting-tarps', 'is_customized': False}"
,Mauls,0,0,"{'path': '/first-responder-tools/firefighter-mauls', 'is_customized': False}"
,Megaphones,0,0,"{'path': '/traffic-control-supplies/first-responder-megaphones', 'is_customized': False}"
,Metal Detectors,0,0,"{'path': '/first-responder-electronic-equipment/first-responder-metal-detectors', 'is_customized': False}"
,Off Duty Footwear,0,0,"{'path': '/first-responder-footwear/first-responder-off-duty-footwear', 'is_customized': False}"
,Off Duty Wear,0,0,"{'path': '/first-responder-apparel/first-responder-off-duty-wear', 'is_customized': False}"
,Online Training Courses,0,0,"{'path': '/firefighter-trainers/online-training-courses', 'is_customized': False}"
,Pants,0,0,"{'path': '/first-responder-apparel/firefighter-pants2', 'is_customized': False}"
,Pass Devices,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-pass-devices', 'is_customized': False}"
,Patient Immobilization Equipment,0,0,"{'path': '/rope-tech-rescue-equipment/patient-immobilization-equipment', 'is_customized': False}"
,Patient Protection,0,0,"{'path': '/firefighter-vehicle-rescue/patient-protection', 'is_customized': False}"
,Patient Transportation,0,0,"{'path': '/medical-supplies-and-equipment/rescue-patient-transportation', 'is_customized': False}"
,Pike Poles,0,0,"{'path': '/first-responder-tools/firefighter-pike-poles', 'is_customized': False}"
,Pocket and Hand Tools,0,0,"{'path': '/first-responder-tools/firefighter-pocket-and-hand-tools', 'is_customized': False}"
,Radio Cases,0,0,"{'path': '/first-responder-leather-goods/first-responder-radio-cases', 'is_customized': False}"
,Radio Straps,0,0,"{'path': '/first-responder-leather-goods/responder-radio-straps', 'is_customized': False}"
,Rapid Intervention Bags,0,0,"{'path': '/responder-bags/firefighting-rapid-intervention-bags', 'is_customized': False}"
